name	type	source	detector	wavelength_nominal	units
S1-D2-760.0	NIRSCWAMPLITUDE	S1	D2	760.0	AU
S1-D33-760.0	NIRSCWAMPLITUDE	S1	D33	760.0	AU
S1-D34-760.0	NIRSCWAMPLITUDE	S1	D34	760.0	AU
S1-D36-760.0	NIRSCWAMPLITUDE	S1	D36	760.0	AU
S1-D37-760.0	NIRSCWAMPLITUDE	S1	D37	760.0	AU
S1-D38-760.0	NIRSCWAMPLITUDE	S1	D38	760.0	AU
S1-D39-760.0	NIRSCWAMPLITUDE	S1	D39	760.0	AU
S1-D40-760.0	NIRSCWAMPLITUDE	S1	D40	760.0	AU
S1-D65-760.0	NIRSCWAMPLITUDE	S1	D65	760.0	AU
S1-D67-760.0	NIRSCWAMPLITUDE	S1	D67	760.0	AU
S1-D68-760.0	NIRSCWAMPLITUDE	S1	D68	760.0	AU
S1-D69-760.0	NIRSCWAMPLITUDE	S1	D69	760.0	AU
S1-D70-760.0	NIRSCWAMPLITUDE	S1	D70	760.0	AU
S1-D72-760.0	NIRSCWAMPLITUDE	S1	D72	760.0	AU
S1-D140-760.0	NIRSCWAMPLITUDE	S1	D140	760.0	AU
S1-D142-760.0	NIRSCWAMPLITUDE	S1	D142	760.0	AU
S1-D144-760.0	NIRSCWAMPLITUDE	S1	D144	760.0	AU
S2-D33-760.0	NIRSCWAMPLITUDE	S2	D33	760.0	AU
S2-D34-760.0	NIRSCWAMPLITUDE	S2	D34	760.0	AU
S2-D36-760.0	NIRSCWAMPLITUDE	S2	D36	760.0	AU
S2-D37-760.0	NIRSCWAMPLITUDE	S2	D37	760.0	AU
S2-D38-760.0	NIRSCWAMPLITUDE	S2	D38	760.0	AU
S2-D39-760.0	NIRSCWAMPLITUDE	S2	D39	760.0	AU
S2-D65-760.0	NIRSCWAMPLITUDE	S2	D65	760.0	AU
S2-D67-760.0	NIRSCWAMPLITUDE	S2	D67	760.0	AU
S2-D95-760.0	NIRSCWAMPLITUDE	S2	D95	760.0	AU
S2-D137-760.0	NIRSCWAMPLITUDE	S2	D137	760.0	AU
S2-D138-760.0	NIRSCWAMPLITUDE	S2	D138	760.0	AU
S2-D139-760.0	NIRSCWAMPLITUDE	S2	D139	760.0	AU
S2-D140-760.0	NIRSCWAMPLITUDE	S2	D140	760.0	AU
S2-D142-760.0	NIRSCWAMPLITUDE	S2	D142	760.0	AU
S2-D143-760.0	NIRSCWAMPLITUDE	S2	D143	760.0	AU
S2-D144-760.0	NIRSCWAMPLITUDE	S2	D144	760.0	AU
S3-D1-760.0	NIRSCWAMPLITUDE	S3	D1	760.0	AU
S3-D2-760.0	NIRSCWAMPLITUDE	S3	D2	760.0	AU
S3-D3-760.0	NIRSCWAMPLITUDE	S3	D3	760.0	AU
S3-D4-760.0	NIRSCWAMPLITUDE	S3	D4	760.0	AU
S3-D5-760.0	NIRSCWAMPLITUDE	S3	D5	760.0	AU
S3-D17-760.0	NIRSCWAMPLITUDE	S3	D17	760.0	AU
S3-D33-760.0	NIRSCWAMPLITUDE	S3	D33	760.0	AU
S3-D34-760.0	NIRSCWAMPLITUDE	S3	D34	760.0	AU
S3-D35-760.0	NIRSCWAMPLITUDE	S3	D35	760.0	AU
S3-D36-760.0	NIRSCWAMPLITUDE	S3	D36	760.0	AU
S3-D37-760.0	NIRSCWAMPLITUDE	S3	D37	760.0	AU
S3-D38-760.0	NIRSCWAMPLITUDE	S3	D38	760.0	AU
S3-D39-760.0	NIRSCWAMPLITUDE	S3	D39	760.0	AU
S3-D40-760.0	NIRSCWAMPLITUDE	S3	D40	760.0	AU
S3-D65-760.0	NIRSCWAMPLITUDE	S3	D65	760.0	AU
S3-D66-760.0	NIRSCWAMPLITUDE	S3	D66	760.0	AU
S3-D67-760.0	NIRSCWAMPLITUDE	S3	D67	760.0	AU
S3-D68-760.0	NIRSCWAMPLITUDE	S3	D68	760.0	AU
S3-D69-760.0	NIRSCWAMPLITUDE	S3	D69	760.0	AU
S3-D70-760.0	NIRSCWAMPLITUDE	S3	D70	760.0	AU
S3-D71-760.0	NIRSCWAMPLITUDE	S3	D71	760.0	AU
S3-D72-760.0	NIRSCWAMPLITUDE	S3	D72	760.0	AU
S3-D130-760.0	NIRSCWAMPLITUDE	S3	D130	760.0	AU
S3-D144-760.0	NIRSCWAMPLITUDE	S3	D144	760.0	AU
S4-D33-760.0	NIRSCWAMPLITUDE	S4	D33	760.0	AU
S4-D34-760.0	NIRSCWAMPLITUDE	S4	D34	760.0	AU
S4-D35-760.0	NIRSCWAMPLITUDE	S4	D35	760.0	AU
S4-D36-760.0	NIRSCWAMPLITUDE	S4	D36	760.0	AU
S4-D37-760.0	NIRSCWAMPLITUDE	S4	D37	760.0	AU
S4-D38-760.0	NIRSCWAMPLITUDE	S4	D38	760.0	AU
S4-D39-760.0	NIRSCWAMPLITUDE	S4	D39	760.0	AU
S4-D40-760.0	NIRSCWAMPLITUDE	S4	D40	760.0	AU
S4-D65-760.0	NIRSCWAMPLITUDE	S4	D65	760.0	AU
S4-D66-760.0	NIRSCWAMPLITUDE	S4	D66	760.0	AU
S4-D67-760.0	NIRSCWAMPLITUDE	S4	D67	760.0	AU
S4-D68-760.0	NIRSCWAMPLITUDE	S4	D68	760.0	AU
S4-D69-760.0	NIRSCWAMPLITUDE	S4	D69	760.0	AU
S4-D70-760.0	NIRSCWAMPLITUDE	S4	D70	760.0	AU
S4-D130-760.0	NIRSCWAMPLITUDE	S4	D130	760.0	AU
S4-D134-760.0	NIRSCWAMPLITUDE	S4	D134	760.0	AU
S4-D137-760.0	NIRSCWAMPLITUDE	S4	D137	760.0	AU
S4-D138-760.0	NIRSCWAMPLITUDE	S4	D138	760.0	AU
S4-D139-760.0	NIRSCWAMPLITUDE	S4	D139	760.0	AU
S4-D140-760.0	NIRSCWAMPLITUDE	S4	D140	760.0	AU
S4-D141-760.0	NIRSCWAMPLITUDE	S4	D141	760.0	AU
S4-D142-760.0	NIRSCWAMPLITUDE	S4	D142	760.0	AU
S4-D143-760.0	NIRSCWAMPLITUDE	S4	D143	760.0	AU
S4-D144-760.0	NIRSCWAMPLITUDE	S4	D144	760.0	AU
S5-D33-760.0	NIRSCWAMPLITUDE	S5	D33	760.0	AU
S5-D34-760.0	NIRSCWAMPLITUDE	S5	D34	760.0	AU
S5-D35-760.0	NIRSCWAMPLITUDE	S5	D35	760.0	AU
S5-D36-760.0	NIRSCWAMPLITUDE	S5	D36	760.0	AU
S5-D37-760.0	NIRSCWAMPLITUDE	S5	D37	760.0	AU
S5-D38-760.0	NIRSCWAMPLITUDE	S5	D38	760.0	AU
S5-D39-760.0	NIRSCWAMPLITUDE	S5	D39	760.0	AU
S5-D90-760.0	NIRSCWAMPLITUDE	S5	D90	760.0	AU
S5-D91-760.0	NIRSCWAMPLITUDE	S5	D91	760.0	AU
S5-D92-760.0	NIRSCWAMPLITUDE	S5	D92	760.0	AU
S5-D93-760.0	NIRSCWAMPLITUDE	S5	D93	760.0	AU
S5-D94-760.0	NIRSCWAMPLITUDE	S5	D94	760.0	AU
S5-D95-760.0	NIRSCWAMPLITUDE	S5	D95	760.0	AU
