name	type	source	detector	wavelength_nominal	units
S10-D87-760.0	NIRSCWAMPLITUDE	S10	D87	760.0	AU
S10-D94-760.0	NIRSCWAMPLITUDE	S10	D94	760.0	AU
S10-D89-760.0	NIRSCWAMPLITUDE	S10	D89	760.0	AU
S10-D92-760.0	NIRSCWAMPLITUDE	S10	D92	760.0	AU
S9-D94-760.0	NIRSCWAMPLITUDE	S9	D94	760.0	AU
S9-D141-760.0	NIRSCWAMPLITUDE	S9	D141	760.0	AU
S9-D96-760.0	NIRSCWAMPLITUDE	S9	D96	760.0	AU
S9-D139-760.0	NIRSCWAMPLITUDE	S9	D139	760.0	AU
S8-D141-760.0	NIRSCWAMPLITUDE	S8	D141	760.0	AU
S8-D143-760.0	NIRSCWAMPLITUDE	S8	D143	760.0	AU
S8-D33-760.0	NIRSCWAMPLITUDE	S8	D33	760.0	AU
S7-D66-760.0	NIRSCWAMPLITUDE	S7	D66	760.0	AU
S7-D33-760.0	NIRSCWAMPLITUDE	S7	D33	760.0	AU
S7-D37-760.0	NIRSCWAMPLITUDE	S7	D37	760.0	AU
S7-D40-760.0	NIRSCWAMPLITUDE	S7	D40	760.0	AU
S6-D66-760.0	NIRSCWAMPLITUDE	S6	D66	760.0	AU
S6-D1-760.0	NIRSCWAMPLITUDE	S6	D1	760.0	AU
S6-D68-760.0	NIRSCWAMPLITUDE	S6	D68	760.0	AU
S6-D71-760.0	NIRSCWAMPLITUDE	S6	D71	760.0	AU
S26-D1-760.0	NIRSCWAMPLITUDE	S26	D1	760.0	AU
S26-D8-760.0	NIRSCWAMPLITUDE	S26	D8	760.0	AU
S26-D3-760.0	NIRSCWAMPLITUDE	S26	D3	760.0	AU
S26-D6-760.0	NIRSCWAMPLITUDE	S26	D6	760.0	AU
S25-D8-760.0	NIRSCWAMPLITUDE	S25	D8	760.0	AU
S25-D15-760.0	NIRSCWAMPLITUDE	S25	D15	760.0	AU
S25-D10-760.0	NIRSCWAMPLITUDE	S25	D10	760.0	AU
S25-D13-760.0	NIRSCWAMPLITUDE	S25	D13	760.0	AU
S13-D85-760.0	NIRSCWAMPLITUDE	S13	D85	760.0	AU
S13-D89-760.0	NIRSCWAMPLITUDE	S13	D89	760.0	AU
S13-D83-760.0	NIRSCWAMPLITUDE	S13	D83	760.0	AU
S13-D90-760.0	NIRSCWAMPLITUDE	S13	D90	760.0	AU
S13-D84-760.0	NIRSCWAMPLITUDE	S13	D84	760.0	AU
S13-D88-760.0	NIRSCWAMPLITUDE	S13	D88	760.0	AU
S12-D92-760.0	NIRSCWAMPLITUDE	S12	D92	760.0	AU
S12-D96-760.0	NIRSCWAMPLITUDE	S12	D96	760.0	AU
S12-D137-760.0	NIRSCWAMPLITUDE	S12	D137	760.0	AU
S12-D91-760.0	NIRSCWAMPLITUDE	S12	D91	760.0	AU
S12-D95-760.0	NIRSCWAMPLITUDE	S12	D95	760.0	AU
S5-D139-760.0	NIRSCWAMPLITUDE	S5	D139	760.0	AU
S5-D143-760.0	NIRSCWAMPLITUDE	S5	D143	760.0	AU
S5-D144-760.0	NIRSCWAMPLITUDE	S5	D144	760.0	AU
S5-D138-760.0	NIRSCWAMPLITUDE	S5	D138	760.0	AU
S5-D142-760.0	NIRSCWAMPLITUDE	S5	D142	760.0	AU
S4-D33-760.0	NIRSCWAMPLITUDE	S4	D33	760.0	AU
S4-D37-760.0	NIRSCWAMPLITUDE	S4	D37	760.0	AU
S4-D144-760.0	NIRSCWAMPLITUDE	S4	D144	760.0	AU
S4-D39-760.0	NIRSCWAMPLITUDE	S4	D39	760.0	AU
S4-D34-760.0	NIRSCWAMPLITUDE	S4	D34	760.0	AU
S4-D38-760.0	NIRSCWAMPLITUDE	S4	D38	760.0	AU
S3-D40-760.0	NIRSCWAMPLITUDE	S3	D40	760.0	AU
S3-D68-760.0	NIRSCWAMPLITUDE	S3	D68	760.0	AU
S3-D39-760.0	NIRSCWAMPLITUDE	S3	D39	760.0	AU
S3-D70-760.0	NIRSCWAMPLITUDE	S3	D70	760.0	AU
S3-D65-760.0	NIRSCWAMPLITUDE	S3	D65	760.0	AU
S3-D69-760.0	NIRSCWAMPLITUDE	S3	D69	760.0	AU
S29-D71-760.0	NIRSCWAMPLITUDE	S29	D71	760.0	AU
S29-D3-760.0	NIRSCWAMPLITUDE	S29	D3	760.0	AU
S29-D70-760.0	NIRSCWAMPLITUDE	S29	D70	760.0	AU
S29-D5-760.0	NIRSCWAMPLITUDE	S29	D5	760.0	AU
S29-D72-760.0	NIRSCWAMPLITUDE	S29	D72	760.0	AU
S29-D4-760.0	NIRSCWAMPLITUDE	S29	D4	760.0	AU
S27-D6-760.0	NIRSCWAMPLITUDE	S27	D6	760.0	AU
S27-D10-760.0	NIRSCWAMPLITUDE	S27	D10	760.0	AU
S27-D5-760.0	NIRSCWAMPLITUDE	S27	D5	760.0	AU
S27-D12-760.0	NIRSCWAMPLITUDE	S27	D12	760.0	AU
S27-D7-760.0	NIRSCWAMPLITUDE	S27	D7	760.0	AU
S27-D11-760.0	NIRSCWAMPLITUDE	S27	D11	760.0	AU
S28-D13-760.0	NIRSCWAMPLITUDE	S28	D13	760.0	AU
S28-D12-760.0	NIRSCWAMPLITUDE	S28	D12	760.0	AU
S28-D14-760.0	NIRSCWAMPLITUDE	S28	D14	760.0	AU
S16-D81-760.0	NIRSCWAMPLITUDE	S16	D81	760.0	AU
S16-D84-760.0	NIRSCWAMPLITUDE	S16	D84	760.0	AU
S16-D86-760.0	NIRSCWAMPLITUDE	S16	D86	760.0	AU
S15-D88-760.0	NIRSCWAMPLITUDE	S15	D88	760.0	AU
S15-D86-760.0	NIRSCWAMPLITUDE	S15	D86	760.0	AU
S15-D93-760.0	NIRSCWAMPLITUDE	S15	D93	760.0	AU
S14-D95-760.0	NIRSCWAMPLITUDE	S14	D95	760.0	AU
S14-D138-760.0	NIRSCWAMPLITUDE	S14	D138	760.0	AU
S14-D93-760.0	NIRSCWAMPLITUDE	S14	D93	760.0	AU
S14-D140-760.0	NIRSCWAMPLITUDE	S14	D140	760.0	AU
S2-D142-760.0	NIRSCWAMPLITUDE	S2	D142	760.0	AU
S2-D34-760.0	NIRSCWAMPLITUDE	S2	D34	760.0	AU
S2-D140-760.0	NIRSCWAMPLITUDE	S2	D140	760.0	AU
S2-D36-760.0	NIRSCWAMPLITUDE	S2	D36	760.0	AU
S1-D38-760.0	NIRSCWAMPLITUDE	S1	D38	760.0	AU
S1-D65-760.0	NIRSCWAMPLITUDE	S1	D65	760.0	AU
S1-D36-760.0	NIRSCWAMPLITUDE	S1	D36	760.0	AU
S1-D67-760.0	NIRSCWAMPLITUDE	S1	D67	760.0	AU
S32-D69-760.0	NIRSCWAMPLITUDE	S32	D69	760.0	AU
S32-D72-760.0	NIRSCWAMPLITUDE	S32	D72	760.0	AU
S32-D67-760.0	NIRSCWAMPLITUDE	S32	D67	760.0	AU
S32-D2-760.0	NIRSCWAMPLITUDE	S32	D2	760.0	AU
S31-D4-760.0	NIRSCWAMPLITUDE	S31	D4	760.0	AU
S31-D7-760.0	NIRSCWAMPLITUDE	S31	D7	760.0	AU
S31-D2-760.0	NIRSCWAMPLITUDE	S31	D2	760.0	AU
S31-D9-760.0	NIRSCWAMPLITUDE	S31	D9	760.0	AU
S30-D11-760.0	NIRSCWAMPLITUDE	S30	D11	760.0	AU
S30-D14-760.0	NIRSCWAMPLITUDE	S30	D14	760.0	AU
S30-D9-760.0	NIRSCWAMPLITUDE	S30	D9	760.0	AU
S7-D35-760.0	NIRSCWAMPLITUDE	S7	D35	760.0	AU
S3-D71-760.0	NIRSCWAMPLITUDE	S3	D71	760.0	AU
S3-D66-760.0	NIRSCWAMPLITUDE	S3	D66	760.0	AU
S3-D72-760.0	NIRSCWAMPLITUDE	S3	D72	760.0	AU
S3-D67-760.0	NIRSCWAMPLITUDE	S3	D67	760.0	AU
S4-D35-760.0	NIRSCWAMPLITUDE	S4	D35	760.0	AU
S4-D40-760.0	NIRSCWAMPLITUDE	S4	D40	760.0	AU
S4-D65-760.0	NIRSCWAMPLITUDE	S4	D65	760.0	AU
S4-D36-760.0	NIRSCWAMPLITUDE	S4	D36	760.0	AU
S29-D1-760.0	NIRSCWAMPLITUDE	S29	D1	760.0	AU
S29-D69-760.0	NIRSCWAMPLITUDE	S29	D69	760.0	AU
S29-D2-760.0	NIRSCWAMPLITUDE	S29	D2	760.0	AU
S29-D7-760.0	NIRSCWAMPLITUDE	S29	D7	760.0	AU
S29-D6-760.0	NIRSCWAMPLITUDE	S29	D6	760.0	AU
S27-D8-760.0	NIRSCWAMPLITUDE	S27	D8	760.0	AU
S27-D4-760.0	NIRSCWAMPLITUDE	S27	D4	760.0	AU
S27-D9-760.0	NIRSCWAMPLITUDE	S27	D9	760.0	AU
S27-D14-760.0	NIRSCWAMPLITUDE	S27	D14	760.0	AU
S27-D13-760.0	NIRSCWAMPLITUDE	S27	D13	760.0	AU
S28-D15-760.0	NIRSCWAMPLITUDE	S28	D15	760.0	AU
S28-D11-760.0	NIRSCWAMPLITUDE	S28	D11	760.0	AU
S25-D6-760.0	NIRSCWAMPLITUDE	S25	D6	760.0	AU
S30-D7-760.0	NIRSCWAMPLITUDE	S30	D7	760.0	AU
S31-D11-760.0	NIRSCWAMPLITUDE	S31	D11	760.0	AU
S31-D72-760.0	NIRSCWAMPLITUDE	S31	D72	760.0	AU
S32-D4-760.0	NIRSCWAMPLITUDE	S32	D4	760.0	AU
